PersonId,RörelseId,PhaseId,StartTid,SlutTid,Avg_Gem_Avvikelse
fp1,2a_1,f1,0.0,0.01,0.12
fp1,2a_1,f2,0.01,0.01,0.0
fp1,2a_1,f3,0.01,0.03,0.2
fp2,2a_1,f1,0.06,0.07,1.4
fp2,2a_1,f2,0.07,0.07,2.0
fp2,2a_1,f3,0.07,0.09,0.9
fp3,2a_1,f1,0.07,0.08,0.67
fp3,2a_1,f2,0.08,0.08,1.0
fp3,2a_1,f3,0.08,0.1,0.8
fp4,2a_1,f1,0.05,0.06,0.62
fp4,2a_1,f2,0.06,0.06,1.0
fp4,2a_1,f3,0.06,0.08,0.9
fp5,2a_1,f1,0.06,0.07,0.89
fp5,2a_1,f2,0.07,0.07,1.0
fp5,2a_1,f3,0.07,0.09,0.5
fp1,2a_2,f1,0.04,0.05,0.0
fp1,2a_2,f2,0.05,0.05,0.0
fp1,2a_2,f3,0.05,0.07,0.0
fp2,2a_2,f1,0.09,0.1,0.67
fp2,2a_2,f2,0.1,0.1,1.0
fp2,2a_2,f3,0.1,0.12,0.57
fp3,2a_2,f1,0.1,0.11,0.75
fp3,2a_2,f2,0.11,0.11,0.0
fp3,2a_2,f3,0.11,0.14,0.4
fp4,2a_2,f1,0.08,0.09,1.0
fp4,2a_2,f2,0.09,0.09,2.0
fp4,2a_2,f3,0.09,0.11,0.4
fp5,2a_2,f1,0.09,0.1,0.88
fp5,2a_2,f2,0.1,0.1,0.0
fp5,2a_2,f3,0.1,0.12,0.86
